# RA        Dec       Flux_182  Flux_cat  Alpha     Freq      Catalog    
293.21    -8.29     11.54     10.4      -0.79     160.0     Culgoora   
202.79    -25.99    11.51     10.5      -0.7      160.0     Culgoora   
50.46     -37.04    11.51     11.51     0.0       180.0     MWACS      
210.67    -36.06    11.49     10.8      -0.47     160.0     Culgoora   
95.42     -52.68    11.48     11.32     -1.06     180.0     MWACS      
344.28    16.96     11.46     10.3      -0.81     160.0     Culgoora   
350.36    23.79     11.46     10.3      -0.81     160.0     Culgoora   
188.92    -41.89    11.45     10.6      -0.59     160.0     Culgoora   
83.26     4.1       11.44     11.1      -0.23     160.0     Culgoora   
9.63      -39.0     11.43     11.43     -0.8      182.44    FHD        
278.13    -34.38    11.43     9.7       -1.25     160.0     Culgoora   
255.3     -29.92    11.43     10.9      -0.36     160.0     Culgoora   
238.1     20.1      11.42     10.4      -0.71     160.0     Culgoora   
200.33    11.12     11.4      10.0      -1.0      160.0     Culgoora   
320.76    -16.47    11.39     11.23     -1.11     180.0     MWACS      
48.2      -14.83    11.38     11.26     -0.77     180.0     MWACS      
242.51    -9.33     11.35     11.0      -0.24     160.0     Culgoora   
21.51     -1.4      11.35     8.9       -1.85     160.0     Culgoora   
280.01    24.04     11.34     10.8      -0.37     160.0     Culgoora   
214.14    -36.68    11.33     9.6       -1.26     160.0     Culgoora   
129.95    -12.24    11.32     9.7       -1.18     160.0     Culgoora   
177.27    -12.07    11.3      10.0      -0.93     160.0     Culgoora   
10.36     -1.72     11.3      10.0      -0.93     160.0     Culgoora   
56.63     -34.38    11.29     11.1      -1.26     180.0     MWACS      
329.19    -11.47    11.26     10.9      -0.25     160.0     Culgoora   
25.29     13.89     11.26     10.7      -0.39     160.0     Culgoora   
